simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
8.632988,0.016666,-181.4721,105.6376,-0.5020795,5.846154,-0.02720331,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001712155,-0.09804677,-0.02720331,801.2858,3,1,1
8.649654,0.016666,-181.4285,105.6376,-0.5020798,5.852533,-0.02733601,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001739879,-0.09819779,-0.02733601,801.6663,3,1,1
8.66632,0.016666,-181.3849,105.6376,-0.5020804,5.858893,-0.02746833,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001757542,-0.09834842,-0.02746833,802.0449,3,1,1
8.682986,0.016666,-181.3412,105.6375,-0.502081,5.86523,-0.02760029,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001765098,-0.09849902,-0.02760029,801.4672,3,1,1
8.699652,0.016666,-181.2975,105.6375,-0.5020818,5.871518,-0.0277319,-0.216,0.2705907,0,10,0,0,0,0,0,0.000176294,-0.09865204,-0.0277319,800.9452,3,1,1
8.716318,0.016666,-181.2537,105.6375,-0.5020826,5.87774,-0.02786316,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001751831,-0.09881306,-0.02786316,800.6622,3,1,1
8.732984,0.016666,-181.2099,105.6375,-0.5020837,5.883895,-0.02799407,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001732841,-0.09898839,-0.02799407,800.5878,3,1,1
8.74965,0.016666,-181.1661,105.6374,-0.5020849,5.889988,-0.02812465,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001707284,-0.09918325,-0.02812465,800.6766,3,1,1
8.766316,0.016666,-181.1222,105.6374,-0.5020862,5.89603,-0.0282549,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001676625,-0.099401,-0.0282549,800.8823,3,1,1
8.782982,0.016666,-181.0782,105.6374,-0.5020876,5.902035,-0.02838484,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001642405,-0.09964289,-0.02838484,802.1193,3,1,1
8.799648,0.016666,-181.0342,105.6374,-0.5020891,5.908035,-0.02851447,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001606167,-0.09990643,-0.02851447,803.3481,3,1,1
8.816314,0.016666,-180.9902,105.6373,-0.5020908,5.914055,-0.02864379,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001569391,-0.1001847,-0.02864379,804.3629,3,1,1
8.83298,0.016666,-180.9461,105.6373,-0.5020924,5.920102,-0.02877283,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001533416,-0.100469,-0.02877283,805.1777,3,1,1
8.849646,0.016666,-180.902,105.6373,-0.5020939,5.926171,-0.02890158,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001499388,-0.1007509,-0.02890158,805.8274,3,1,1
8.866312,0.016666,-180.8578,105.6372,-0.5020953,5.932257,-0.02903005,-0.216,0.3379801,0,10,0,0,0,0,0,0.000146823,-0.1010236,-0.02903005,806.3529,3,1,1
8.882978,0.016666,-180.8136,105.6372,-0.5020967,5.938346,-0.02915825,-0.216,0.2705907,0,10,0,0,0,0,0,0.000144064,-0.1012819,-0.02915825,805.8342,3,1,1
8.899644,0.016666,-180.7693,105.6372,-0.5020978,5.944405,-0.02928619,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001417317,-0.1015248,-0.02928619,805.3228,3,1,1
8.91631,0.016666,-180.725,105.6372,-0.502099,5.950377,-0.02941391,-0.216,0.2705907,0,10,0,0,0,0,0,0.000139974,-0.1017575,-0.02941391,805.1054,3,1,1
8.932976,0.016666,-180.6806,105.6371,-0.5021,5.956234,-0.02954152,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001391024,-0.1019917,-0.02954152,805.2131,3,1,1
8.949642,0.016666,-180.6363,105.6371,-0.5021011,5.961983,-0.0296692,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001395822,-0.1022396,-0.0296692,805.5786,3,1,1
8.966308,0.016666,-180.5918,105.6371,-0.5021021,5.967646,-0.02979717,-0.216,0.2705907,0,10,0,0,0,0,0,0.0001419055,-0.1025099,-0.02979717,806.1047,3,1,1
8.982974,0.016666,-180.5473,105.6371,-0.5021033,5.97326,-0.02992568,-0.216,0.3379801,0,10,0,0,0,0,0,0.000146444,-0.1028064,-0.02992568,807.6477,3,1,1
8.99964,0.016666,-180.5028,105.637,-0.5021044,5.978899,-0.03005495,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001533487,-0.1031245,-0.03005495,809.0621,3,1,1
9.016306,0.016666,-180.4583,105.637,-0.5021055,5.984607,-0.03018515,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001625001,-0.1034505,-0.03018515,810.112,3,1,1
9.032972,0.016666,-180.4136,105.637,-0.5021065,5.990383,-0.03031643,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001735008,-0.1037691,-0.03031643,810.8549,3,1,1
9.049638,0.016666,-180.369,105.6369,-0.5021073,5.996203,-0.03044885,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001857066,-0.104068,-0.03044885,811.3945,3,1,1
9.066304,0.016666,-180.3243,105.6369,-0.502108,6.002038,-0.03058242,-0.216,0.3379801,0,10,0,0,0,0,0,0.0001982866,-0.10434,-0.03058242,811.8313,3,1,1
9.08297,0.016666,-180.2796,105.6369,-0.5021085,6.007854,-0.0307171,-0.216,0.2705907,0,10,0,0,0,0,0,0.0002103055,-0.104583,-0.0307171,811.2922,3,1,1
9.099636,0.016666,-180.2348,105.6369,-0.5021088,6.013583,-0.03085277,-0.216,0.2705907,0,10,0,0,0,0,0,0.0002208144,-0.1048025,-0.03085277,810.9078,3,1,1
9.116302,0.016666,-180.19,105.6368,-0.5021091,6.019188,-0.03098926,-0.216,0.2705907,0,10,0,0,0,0,0,0.0002289438,-0.1050121,-0.03098926,810.8915,3,1,1
9.132968,0.016666,-180.1451,105.6368,-0.5021094,6.024676,-0.03112636,-0.216,0.2705907,0,10,0,0,0,0,0,0.0002339871,-0.1052263,-0.03112636,811.1716,3,1,1
9.149634,0.016666,-180.1002,105.6368,-0.5021098,6.030072,-0.03126384,-0.216,0.2705907,0,10,0,0,0,0,0,0.000235466,-0.1054561,-0.03126384,811.642,3,1,1